,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
3904,35401519,1,1,0,2,81.0,38,4.97,4.68,0.96
3905,35406191,0,1,1,4,200.0,3,5.0,5.0,0.08
3906,35408107,0,1,0,2,55.0,1,5.0,5.0,0.03
3907,35448648,0,1,0,2,100.0,29,4.93,4.93,0.73
3908,35461596,0,1,1,5,130.0,4,5.0,5.0,0.1
3909,35462882,0,1,1,2,80.0,9,4.56,4.89,0.24
3910,35489321,0,1,0,1,30.0,9,4.86,4.86,0.23
3911,35492738,0,1,0,2,500.0,41,4.49,4.54,1.06
3912,35506380,0,1,0,4,220.0,2,5.0,5.0,0.05
3913,35511291,0,1,1,2,159.0,4,5.0,5.0,0.1
3914,35512947,0,1,1,2,75.0,14,4.86,4.93,0.36
3915,35535668,0,1,0,4,150.0,6,4.67,5.0,0.15
3916,35545729,0,9,1,2,75.0,41,4.93,4.66,1.04
3917,35559705,1,2,1,3,116.0,118,4.88,4.85,3.2
3918,35560132,0,2,1,1,100.0,10,5.0,5.0,1.52
3919,35562722,0,1,0,7,195.0,1,5.0,5.0,0.03
3920,35563076,0,1,1,6,300.0,3,5.0,5.0,0.08
3921,35563644,0,23,1,2,204.0,38,4.58,4.92,0.98
3922,35569423,0,1,1,2,99.0,53,4.91,4.91,1.35
3923,35576859,0,1,1,6,180.0,9,4.88,5.0,0.24
3924,35577845,0,5,1,1,100.0,53,4.65,4.83,1.35
3925,35608363,0,18,1,4,140.0,34,4.82,4.79,0.89
3926,35634746,0,1,1,4,200.0,2,3.0,5.0,0.05
3927,35640983,0,1,0,2,55.0,8,4.5,5.0,0.21
3928,35648044,0,1,0,2,36.0,15,4.93,4.64,0.38
3929,35673359,0,23,1,2,267.0,52,4.31,4.71,1.34
3930,35673532,0,23,1,2,284.0,83,4.52,4.92,2.14
3931,35673628,0,23,1,2,275.0,35,4.2,4.8,0.9
3932,35673876,0,23,1,2,275.0,51,4.29,4.82,1.32
3933,35679514,0,1,0,2,55.0,12,4.67,4.75,0.31
3934,35699949,0,2,1,2,50.0,2,4.5,5.0,0.05
3935,35709159,1,9,1,2,300.0,15,4.73,5.0,0.41
3936,35712527,0,2,1,6,120.0,1,5.0,5.0,0.03
3937,35713748,0,3,1,4,100.0,7,4.86,5.0,0.18
3938,35715056,1,2,1,3,132.0,21,4.95,4.86,0.57
3939,35715690,0,1,1,2,80.0,7,4.83,5.0,0.18
3940,35725592,0,1,1,2,130.0,11,4.91,4.91,0.29
3941,35726540,0,5,1,1,100.0,38,4.66,4.82,1.02
3942,35731940,0,1,1,4,150.0,8,5.0,4.88,0.21
3943,35741233,1,2,1,2,52.0,25,4.88,4.68,0.65
3944,35762958,0,1,0,2,85.0,14,4.93,4.29,0.36
3945,35766393,0,1,0,6,272.0,2,5.0,5.0,0.05
3946,35766535,0,1,1,2,80.0,20,4.95,4.9,0.52
3947,35767091,0,1,0,2,115.0,4,4.25,5.0,0.1
3948,35799006,0,2,1,4,150.0,6,4.83,4.83,0.15
3949,35803194,0,1,1,2,99.0,2,5.0,4.5,0.05
3950,35819988,0,8,1,2,167.0,3,4.33,5.0,0.08
3951,35828896,0,1,1,2,52.0,10,5.0,4.78,0.26
3952,35837656,0,1,1,2,100.0,1,5.0,5.0,0.03
3953,35856841,0,5,1,1,120.0,21,4.9,4.95,0.54
3954,35865074,0,2,0,2,60.0,1,5.0,5.0,0.03
3955,35868978,0,3,1,2,138.0,1,5.0,5.0,0.03
3956,35868984,0,3,1,1,75.0,37,4.7,4.76,0.99
3957,35870816,0,5,1,2,245.0,68,4.65,4.74,7.23
3958,35877219,0,1,0,2,80.0,17,4.0,4.5,0.44
3959,35878039,0,1,1,2,31.0,9,4.67,4.78,0.23
3960,35878124,0,1,1,6,120.0,7,4.57,5.0,0.18
3961,35900329,0,3,1,1,75.0,40,4.73,4.88,1.07
3962,35903197,0,1,1,4,500.0,26,4.38,4.38,0.67
3963,35909945,0,4,1,2,266.0,39,4.31,4.49,1.03
3964,35910130,0,4,1,3,330.0,13,4.54,4.62,0.35
3965,35910281,0,4,1,3,359.0,5,4.4,4.6,0.38
3966,35943161,0,1,1,2,87.0,69,4.84,4.71,1.78
3967,35954646,0,1,1,5,66.0,5,4.8,5.0,0.13
3968,35967281,0,1,0,3,85.0,73,4.59,4.67,1.91
3969,35986074,1,1,1,2,81.0,180,4.97,4.95,4.66
3970,35986747,0,5,1,1,98.0,6,4.8,4.6,0.15
3971,35987461,0,5,1,3,90.0,20,4.5,4.61,0.52
3972,35988107,0,5,1,1,72.0,29,4.82,4.79,0.75
3973,35992124,1,1,1,1,111.0,45,4.76,4.87,1.15
3974,35993433,0,1,1,2,120.0,16,4.73,5.0,0.41
3975,35993494,0,3,0,1,999.0,8,4.86,5.0,0.2
3976,35997173,0,1,0,2,35.0,1,5.0,5.0,0.03
3977,36020675,1,1,1,2,51.0,57,4.63,4.82,1.46
3978,36020745,0,16,1,1,40.0,39,4.77,4.74,1.01
3979,36026721,0,2,1,2,80.0,52,4.67,4.69,1.34
3980,36028449,0,1,1,2,50.0,4,4.25,4.0,0.1
3981,36033653,0,4,1,1,53.0,6,4.17,4.83,0.16
3982,36034711,0,4,1,1,28.0,5,4.6,5.0,0.13
3983,36042010,0,1,0,4,15.0,1,0.0,,0.03
3984,36058080,0,1,1,2,150.0,9,4.78,4.56,2.01
3985,36058680,0,1,0,2,70.0,43,4.69,4.93,1.11
3986,36084820,0,1,1,2,60.0,3,4.67,4.67,0.08
3987,36100357,1,1,1,4,118.0,218,4.93,4.92,5.61
3988,36111607,0,1,1,6,120.0,3,5.0,4.67,0.08
3989,36126707,0,3,1,4,304.0,17,4.53,4.94,0.45
3990,36132141,0,1,1,2,67.0,9,4.13,4.88,0.23
